,threshold,precision,recall,fscore,support
0,0.0,0.008386281000194711,1.0,0.016633072381501572,
1,0.1,0.3617718824907826,0.5901972818939062,0.4485791970997494,
2,0.2,0.48126429686648997,0.4648662867163525,0.4729231894529334,
3,0.30000000000000004,0.5544883914391591,0.3857255589653661,0.45496101102446895,
4,0.4,0.6082143325036028,0.3256466462078036,0.42418081935196505,
5,0.5,0.6520318391286133,0.2729329241560719,0.3847951047654367,
6,0.6000000000000001,0.6874763934603141,0.22342832091188075,0.3372508536488525,
7,0.7000000000000001,0.7221309719345854,0.17732573432704954,0.284732781438306,
8,0.8,0.7583023979131133,0.13253836036825953,0.22563888225459755,
9,0.9,0.7979747675962815,0.08429636124506795,0.15248457548890545,
